# eastings, northings, cpd, cpd_error, temp_error
3.588821452617469477e+05 9.978055114931003191e+05 2.771443400000000111e+04 1.108577360000000044e+04 1.455267717034216162e+02
3.693601545608881279e+05 9.972383994194315746e+05 2.769560200000000259e+04 1.107824080000000140e+04 1.454516078053730155e+02
3.798389394919344340e+05 9.966965197069360875e+05 2.761142200000000230e+04 1.104456880000000092e+04 1.453681333849584973e+02
3.903184044558767928e+05 9.961798716602721252e+05 2.736434900000000198e+04 1.094573960000000079e+04 1.444454782890478555e+02
4.007984538840630557e+05 9.956884541710943449e+05 2.694108599999999933e+04 1.077643440000000010e+04 1.422942730755742105e+02
4.112791808959767222e+05 9.952222575539821992e+05 2.651357799999999770e+04 1.060543119999999908e+04 1.410396525828463723e+02
4.217604900134273339e+05 9.947812812377208611e+05 2.603337099999999919e+04 1.041334840000000077e+04 1.388552318823441283e+02
4.322422857842525700e+05 9.943655242390064523e+05 2.557682200000000012e+04 1.023072880000000077e+04 1.370313827836674818e+02
4.427246614688885165e+05 9.939749783599291695e+05 2.522041100000000006e+04 1.008816439999999966e+04 1.354059733210139882e+02
4.532075216916950885e+05 9.936096431554369628e+05 2.480791300000000047e+04 9.923165199999999459e+03 1.339528966525273006e+02
4.636907710987272440e+05 9.932695177691619610e+05 2.396730199999999968e+04 9.586920799999999872e+03 1.306949682847094039e+02
4.741745030678386101e+05 9.929545954919852084e+05 2.309614400000000023e+04 9.238457599999999729e+03 1.277236807154815352e+02
4.846586034359720652e+05 9.926648765055359108e+05 2.233607500000000073e+04 8.934430000000000291e+03 1.244230829716884443e+02
4.951430524165696697e+05 9.924003581320533995e+05 2.173529600000000210e+04 8.694118400000001202e+03 1.213568145639503513e+02
5.056278302493261290e+05 9.921610380090553081e+05 2.131553099999999904e+04 8.526212400000000343e+03 1.202320200234292003e+02
5.161128983242167742e+05 9.919469144521736307e+05 2.107145699999999852e+04 8.428582799999998315e+03 1.190167943108192645e+02
5.265982180505082943e+05 9.917579859110948164e+05 2.099353800000000047e+04 8.397415200000001278e+03 1.189802253348096031e+02
5.370837697289042408e+05 9.915942506976108998e+05 2.102618999999999869e+04 8.410476000000000568e+03 1.189160896637650353e+02
5.475695148021276109e+05 9.914557076658443548e+05 2.101164099999999962e+04 8.404656399999999849e+03 1.193863868216569557e+02
5.580554147257612785e+05 9.913423558042272925e+05 2.072828499999999985e+04 8.291314000000000306e+03 1.175508132593319175e+02
5.685414498411765089e+05 9.912541940995468758e+05 2.041500900000000183e+04 8.166003600000001825e+03 1.162243409130235108e+02
